Command (HEX);Command description;Command parameter length (DEC);Command parameter type;Command parameter value (DEC);Reply parameter length (DEC);Reply parameter type;Reply parameter value (DEC);Reply description;Comment
;write blocks;1;number;;;;;;
;write bytes per block;1;number;;;;;;
D7;Read data block;;;;;;;;215
;block number;1;number;;1;number;;variable>;
D6;Write data block;;;;;;;Write data block [ACK];214
;block number;1;number;;;;;;
;variable;1;number;;;;;;
D2;Modify sorter path;;;;;;;;210
D1;Request sorter path;;;;;;;;209
CE;Request sorter path;;;;;;;;206
CD;Modify bus baude rate;;;;;;;;205
C8;Request product parameters;;;;;;;;200
C0;Request build code;;;;;;;Request build code;192
;;;;;?;string;;build code;
AC;Emergency stop;;;;;;;Emergency stop;172
;;;;;1;number;;payout coins remaining;
AB;Request hopper coin;;;;;;;Request hopper coin;171
;;;;;?;string;;coin name;
A9;Request address mode;;;;;;;Request address mode;169
;;;;;1;bitfield;;address mode;
;;;;;;;;B0 - Address is stored in Flash / ROM;
;;;;;;;;B1 - Address is stored in RAM;
;;;;;;;;B2 - Address is stored in EEPROM or equivalent;
;;;;;;;;B3 - Address selection via interface connector;
;;;;;;;;B4 - Address selection via PCB links;
;;;;;;;;B5 - Address selection via switch;
;;;;;;;;B6 - Address may be changed with serial commands ( volatile );
;;;;;;;;B7 - Address may be changed with serial commands ( non-volatile );
A8;Request hopper dispense count;;;;;;;Request hopper dispense count;168
;;;;;1;number;;Count [LSB]..[MSB];
A7;Dispense hopper coins;;;;;;;Dispense hopper coins [ACK];167
;variable;0;data;;?;number;;event counter;
;no. of coins;1;number;;;;;;
A6;Request hopper status;;;;1;number;;Request hopper status;166
;;;;;1;number;;event counter;
;;;;;1;number;;payout coins remaining;
;;;;;1;number;;last payout : coins paid;
;;;;;;;;last payout : coins unpaid;
A5;Modify variable set;;;;;;;Modify variable set [ACK];165
;variable;?;data;;;;;;
A4;Enable hopper;;;;;;;Enable hopper [ACK];164
;enable code;1;number;;;;;;
;magic number;;;165;;;;;
A3;Test hopper;;;;;;;Test hopper;163
;;;;;1;bitfield;;hopper status register 1;
;;;;;;;;Bit 0 - Absolute maximum current exceeded;
;;;;;;;;Bit 1 - Payout timeout occurred;
;;;;;;;;Bit 2 - Motor reversed during last payout to clear a jam;
;;;;;;;;Bit 3 - Opto fraud attempt, path blocked during idle;
;;;;;;;;Bit 4 - Opto fraud attempt, short-circuit during idle;
;;;;;;;;Bit 5 - Opto blocked permanently during payout;
;;;;;;;;Bit 6 - Power-up detected;
;;;;;;;;Bit 7 - Payout disabled;
;;;;;?;data;;hopper status register 2, 3;
A1;Pump RNG;;;;;;;Pump RNG [ACK];161
;variable;?;data;;;;;;
A0;Request cipher key;;;;;;;Request cipher key;160
;;;;;?;data;;variable;
04;Request Comms Revision ;;;;;;;Request Comms Revision ;4
;;;;;1;number;;release;
;;;;;1;number;;major revision;
;;;;;1;number;;minor revision;
03;Clear comms status variables;;;;;;;Clear comms status variables [ACK];3
02;Request comms status variables;;;;;;;Request comms status variables;2
;;;;;1;number;;rx timeouts;
;;;;;1;number;;rx bytes ignored;
;;;;;1;number;;rx bad checksums;
1;Reset device;;;;;;;Reset device. replies with ACK after the execution of a soft reset;1
